"year","president","party"
1854,"Franklin Pierce","Democratic"
1855,"Franklin Pierce","Democratic"
1856,"Franklin Pierce","Democratic"
1857,"James Buchanan","Democratic"
1858,"James Buchanan","Democratic"
1859,"James Buchanan","Democratic"
1860,"James Buchanan","Democratic"
1861,"Abraham Lincoln","Republican"
1862,"Abraham Lincoln","Republican"
1863,"Abraham Lincoln","Republican"
1864,"Abraham Lincoln","Republican"
1865,"Andrew Johnson","Democratic/Union"
1866,"Andrew Johnson","Democratic/Union"
1867,"Andrew Johnson","Democratic/Union"
1868,"Andrew Johnson","Democratic/Union"
1869,"Ulysses S. Grant","Republican"
1870,"Ulysses S. Grant","Republican"
1871,"Ulysses S. Grant","Republican"
1872,"Ulysses S. Grant","Republican"
1873,"Ulysses S. Grant","Republican"
1874,"Ulysses S. Grant","Republican"
1875,"Ulysses S. Grant","Republican"
1876,"Ulysses S. Grant","Republican"
1877,"Rutherford B. Hayes","Republican"
1878,"Rutherford B. Hayes","Republican"
1879,"Rutherford B. Hayes","Republican"
1880,"Rutherford B. Hayes","Republican"
1881,"Chester A. Arthur","Republican"
1882,"Chester A. Arthur","Republican"
1883,"Chester A. Arthur","Republican"
1884,"Chester A. Arthur","Republican"
1885,"Grover Cleveland","Democratic"
1885,"Grover Cleveland","Democratic"
1886,"Grover Cleveland","Democratic"
1886,"Grover Cleveland","Democratic"
1887,"Grover Cleveland","Democratic"
1887,"Grover Cleveland","Democratic"
1888,"Grover Cleveland","Democratic"
1888,"Grover Cleveland","Democratic"
1889,"Benjamin Harrison","Republican"
1890,"Benjamin Harrison","Republican"
1891,"Benjamin Harrison","Republican"
1892,"Benjamin Harrison","Republican"
1893,"Grover Cleveland","Democratic"
1893,"Grover Cleveland","Democratic"
1894,"Grover Cleveland","Democratic"
1894,"Grover Cleveland","Democratic"
1895,"Grover Cleveland","Democratic"
1895,"Grover Cleveland","Democratic"
1896,"Grover Cleveland","Democratic"
1896,"Grover Cleveland","Democratic"
1897,"William McKinley","Republican"
1898,"William McKinley","Republican"
1899,"William McKinley","Republican"
1900,"William McKinley","Republican"
1901,"Theodore Roosevelt","Republican"
1902,"Theodore Roosevelt","Republican"
1903,"Theodore Roosevelt","Republican"
1904,"Theodore Roosevelt","Republican"
1905,"Theodore Roosevelt","Republican"
1906,"Theodore Roosevelt","Republican"
1907,"Theodore Roosevelt","Republican"
1908,"Theodore Roosevelt","Republican"
1909,"William Howard Taft","Republican"
1910,"William Howard Taft","Republican"
1911,"William Howard Taft","Republican"
1912,"William Howard Taft","Republican"
1913,"Woodrow Wilson","Democratic"
1914,"Woodrow Wilson","Democratic"
1915,"Woodrow Wilson","Democratic"
1916,"Woodrow Wilson","Democratic"
1917,"Woodrow Wilson","Democratic"
1918,"Woodrow Wilson","Democratic"
1919,"Woodrow Wilson","Democratic"
1920,"Woodrow Wilson","Democratic"
1921,"Warren G. Harding","Republican"
1922,"Warren G. Harding","Republican"
1923,"Calvin Coolidge","Republican"
1924,"Calvin Coolidge","Republican"
1925,"Calvin Coolidge","Republican"
1926,"Calvin Coolidge","Republican"
1927,"Calvin Coolidge","Republican"
1928,"Calvin Coolidge","Republican"
1929,"Herbert Hoover","Republican"
1930,"Herbert Hoover","Republican"
1931,"Herbert Hoover","Republican"
1932,"Herbert Hoover","Republican"
1933,"Franklin D. Roosevelt","Democratic"
1934,"Franklin D. Roosevelt","Democratic"
1935,"Franklin D. Roosevelt","Democratic"
1936,"Franklin D. Roosevelt","Democratic"
1937,"Franklin D. Roosevelt","Democratic"
1938,"Franklin D. Roosevelt","Democratic"
1939,"Franklin D. Roosevelt","Democratic"
1940,"Franklin D. Roosevelt","Democratic"
1941,"Franklin D. Roosevelt","Democratic"
1942,"Franklin D. Roosevelt","Democratic"
1943,"Franklin D. Roosevelt","Democratic"
1944,"Franklin D. Roosevelt","Democratic"
1945,"Harry S. Truman","Democratic"
1946,"Harry S. Truman","Democratic"
1947,"Harry S. Truman","Democratic"
1948,"Harry S. Truman","Democratic"
1949,"Harry S. Truman","Democratic"
1950,"Harry S. Truman","Democratic"
1951,"Harry S. Truman","Democratic"
1952,"Harry S. Truman","Democratic"
1953,"Dwight D. Eisenhower","Republican"
1954,"Dwight D. Eisenhower","Republican"
1955,"Dwight D. Eisenhower","Republican"
1956,"Dwight D. Eisenhower","Republican"
1957,"Dwight D. Eisenhower","Republican"
1958,"Dwight D. Eisenhower","Republican"
1959,"Dwight D. Eisenhower","Republican"
1960,"Dwight D. Eisenhower","Republican"
1961,"John F. Kennedy","Democratic"
1962,"John F. Kennedy","Democratic"
1963,"Lyndon B. Johnson","Democratic"
1964,"Lyndon B. Johnson","Democratic"
1965,"Lyndon B. Johnson","Democratic"
1966,"Lyndon B. Johnson","Democratic"
1967,"Lyndon B. Johnson","Democratic"
1968,"Lyndon B. Johnson","Democratic"
1969,"Richard Nixon","Republican"
1970,"Richard Nixon","Republican"
1971,"Richard Nixon","Republican"
1972,"Richard Nixon","Republican"
1973,"Richard Nixon","Republican"
1974,"Gerald Ford","Republican"
1975,"Gerald Ford","Republican"
1976,"Gerald Ford","Republican"
1977,"James (Jimmy) Carter","Democratic"
1978,"James (Jimmy) Carter","Democratic"
1979,"James (Jimmy) Carter","Democratic"
1980,"James (Jimmy) Carter","Democratic"
1981,"Ronald Reagan","Republican"
1982,"Ronald Reagan","Republican"
1983,"Ronald Reagan","Republican"
1984,"Ronald Reagan","Republican"
1985,"Ronald Reagan","Republican"
1986,"Ronald Reagan","Republican"
1987,"Ronald Reagan","Republican"
1988,"Ronald Reagan","Republican"
1989,"George H.W. Bush","Republican"
1990,"George H.W. Bush","Republican"
1991,"George H.W. Bush","Republican"
1992,"George H.W. Bush","Republican"
1993,"William (Bill) Clinton","Democratic"
1994,"William (Bill) Clinton","Democratic"
1995,"William (Bill) Clinton","Democratic"
1996,"William (Bill) Clinton","Democratic"
1997,"William (Bill) Clinton","Democratic"
1998,"William (Bill) Clinton","Democratic"
1999,"William (Bill) Clinton","Democratic"
2000,"William (Bill) Clinton","Democratic"
2001,"George W. Bush","Republican"
2002,"George W. Bush","Republican"
2003,"George W. Bush","Republican"
2004,"George W. Bush","Republican"
2005,"George W. Bush","Republican"
2006,"George W. Bush","Republican"
2007,"George W. Bush","Republican"
2008,"George W. Bush","Republican"
2009,"Barack Obama","Democratic"
2010,"Barack Obama","Democratic"
2011,"Barack Obama","Democratic"
2012,"Barack Obama","Democratic"
2013,"Barack Obama","Democratic"
2014,"Barack Obama","Democratic"
2015,"Barack Obama","Democratic"
2016,"Barack Obama","Democratic"
2017,"Donald Trump","Republican"
2018,"Donald Trump","Republican"
2019,"Donald Trump","Republican"
2020,"Donald Trump","Republican"
